test t 1231.21
000000000000 000000 0
111111111111 111111 -10.34
234567890123 345678 56.12
test2 test2 789012.34
456789012345 234567 1234.56
567890123456 765432 90456.78
678901234567 543210 145678.90
789012345678 321098 456.01
890123456789 654321 901.23
901234567890 210987 13.45
123450987654 876543 845.67
234561098765 543210 987.10
345672109876 210987 8721.09
456783210987 876543 10.87
567894321098 543210 109.87
678905432109 210987 5498.76
789016543210 876543 43987.65
890127654321 543210 3276.54
901238765432 210987 28765.43
123459876543 876543 1094.32
tt tt 98765432.10
345671098765 210987 87654321.09
456782109876 876543 76543210.87
567893210987 543210 609.87
678904321098 210987 54321098.76
789015432109 876543 43210987.65
890126543210 543210 326.54
901237654321 210987 21098765.43
123458765432 876543 1.32
234569876543 543210 98765432.10
345670987654 210987 3434.09
456781098765 876543 3210.87
567892109876 543210 65409.87
678903210987 210987 54098.76
789014321098 876543 43987.65
890125432109 543210 32.54
901236543210 210987 2165.43
123457876543 876543 1094.32
234568987654 543210 432.10
345679098765 210987 21.09
456790109876 876543 10.87
567901210987 543210 654.87
678912321098 210987 54328.76
789023432109 876543 43210987.65
890134543210 543210 321876.54
901245654321 210987 21098765.43
123456765432 876543 10987654.32
234567876543 543210 98765432.10
345678987654 210987 87654321.09
456789109876 876543 76543210.87
567890210987 543210 659.87
678901321098 210987 54321098.76
789012432109 876543 4387.65
890123543210 543210 32109876.54
901234654321 210987 21098765.43
123450876543 876543 1094.32
234561987654 543210 98765432.10
345672098765 210987 87654321.09
456783109876 876543 7654.87
567894210987 543210 659.87
678905321098 210987 54321098.76
789016432109 876543 432.65
890127543210 543210 326.54
901238654321 210987 8765.43
987654321012 876543 154.32
876543210987 654321 215.43
765432109876 432109 32109876.54
654321098765 210987 43210987.65
543210987654 789012 54.76
432109876543 567890 65432109.87
321098765432 345678 732.87
210987654321 123456 8765.09
109876543210 890123 98762.10
098765432109 678901 871.09
987654321098 456789 76510.87
876543210987 234567 231.87
765432109876 012345 672.76
654321098765 789012 4987.65
543210987654 567890 32109876.54
432109876543 345678 217.43
321098765432 123456 104.32
210987654321 890123 98765432.10
109876543210 678901 12345.09
098765432109 456789 6789.87
987654321098 234567 4878.87
876543210987 012345 548.76
765432109876 789012 43210987.65
654321098765 567890 326.54
543210987654 345678 2.43
432109876543 123456 10987654.32
321098765432 890123 98765432.10
210987654321 678901 871.09
109876543210 456789 7.87
098765432109 234567 659.87
987654321098 012345 548.76
876543210987 789012 40987.65
765432109876 567890 3276.54
654321098765 345678 210.43
543210987654 123456 104.32
432109876543 890123 987.10
